hakai_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5
U1345,Chilko,3,0.74,U_Horsefly,3,0.25,Horsefly,3,0.01,Chilko_south,2,0.00,Mitchell,3,0.00
U1346,Mitchell,3,0.95,Chilko,3,0.04,U_Horsefly,3,0.01,Scotch,2,0.00,L_Adams,4,0.00
U1358,Chilko,3,0.99,Chilko_south,2,0.01,Chilko-North,3,0.00,,,,,,
U1359,Chilko,3,1.00,Middle,3,0.00,Chilko_south,2,0.00,,,,,,
U1360,Chilko,3,0.59,Thompson_N,2,0.15,Chilko_south,2,0.08,L_Adams,4,0.07,Middle,3,0.07
U1368,Scotch,2,0.89,Seymour,2,0.08,Eagle,2,0.03,,,,,,
U1370,Chilko,3,1.00,Chilko_south,2,0.00,Chilko-North,3,0.00,,,,,,
U474,Chilko,3,0.48,Middle,3,0.46,Porter_Cr,1,0.02,Kuzkwa_Cr,3,0.01,Hudson_Bay,1,0.01
U856,L_Adams,4,0.98,U_Horsefly,3,0.02,,,,,,,,,
U880,Scotch,2,0.79,L_Adams,4,0.09,Middle,3,0.09,Seymour,2,0.02,Eagle_L,4,0.01
U936,Chilko,3,0.83,Porter_Cr,1,0.06,Gluskie,1,0.02,Chilko_south,2,0.02,Sandpoint,1,0.02
U937,Birkenhead,3,0.66,Weaver,4,0.33,Middle,3,0.01,Chilko,3,0.00,,,
U938,Chilko,3,1.00,,,,,,,,,,,,
U1008,Chilko,3,0.96,Middle,3,0.02,Kuzkwa_Cr,3,0.01,L_Adams,4,0.01,Chilko_south,2,0.01
U1009,Mitchell,3,1.00,,,,,,,,,,,,
U1010,Middle,3,0.37,Birkenhead,3,0.30,L_Adams,4,0.15,Scotch,2,0.07,Chilko,3,0.04
U1015,Chilko,3,0.96,Pitt,2,0.02,Chilko_south,2,0.01,Middle,3,0.01,Weaver,4,0.00
U1016,Mitchell,3,1.00,,,,,,,,,,,,
U1017,Pitt,2,1.00,,,,,,,,,,,,
U1022,Chilko,3,1.00,Chilko_south,2,0.00,McKinley,3,0.00,,,,,,
U1031,Chilko,3,0.53,U_Horsefly,3,0.17,Middle,3,0.12,Chilko_south,2,0.05,L_Adams,4,0.05
U1032,Chilko,3,0.80,L_Adams,4,0.14,Middle,3,0.02,Thoms_Lake,20,0.01,Scotch,2,0.01
U1041,Gates_Cr,2,1.00,,,,,,,,,,,,
U1064,Gates_Cr,2,1.00,,,,,,,,,,,,
U1076,Chilko,3,1.00,L_Adams,4,0.00,Chilko_south,2,0.00,,,,,,
U1077,L_Adams,4,0.79,Thompson_N,2,0.08,Chilko,3,0.08,U_Horsefly,3,0.02,L_Horsefly,3,0.01
U1078,Chilko,3,0.98,Chilko_south,2,0.02,L_Adams,4,0.00,Kynock,1,0.00,,,
U1079,Chilko,3,1.00,,,,,,,,,,,,
U1084,Chilko,3,0.93,Kuzkwa_Cr,3,0.02,Middle,3,0.02,Stellako,3,0.00,Chilko_south,2,0.00
U1085,Chilko,3,0.59,U_Horsefly,3,0.19,Chilko_south,2,0.18,L_Adams,4,0.03,Chilko-North,3,0.01
U1086,Chilko,3,0.99,Chilko-North,3,0.01,Mitchell,3,0.00,Middle,3,0.00,Chilko_south,2,0.00
U1087,Chilko,3,0.98,U_Horsefly,3,0.01,Chilko_south,2,0.01,Horsefly,3,0.00,Middle,3,0.00
U1088,L_Adams,4,0.70,Thompson_N,2,0.22,Seymour,2,0.05,Scotch,2,0.02,Little,4,0.01
U1170,U_Horsefly,3,0.99,L_Horsefly,3,0.01,Chilko,3,0.00,,,,,,
U1174,Chilko,3,1.00,U_Horsefly,3,0.00,,,,,,,,,
U1175,Chilko,3,0.97,Chilko_south,2,0.03,L_Adams,4,0.00,,,,,,
U1194,U_Horsefly,3,0.99,L_Horsefly,3,0.00,Thompson_N,2,0.00,Horsefly,3,0.00,McKinley,3,0.00
U1195,U_Horsefly,3,0.97,L_Adams,4,0.02,L_Horsefly,3,0.01,Horsefly,3,0.00,,,
U1196,Chilko,3,0.93,Mitchell,3,0.03,L_Adams,4,0.02,Middle,3,0.02,Chilko_south,2,0.01
U1201,Chilko,3,0.66,U_Horsefly,3,0.17,Middle,3,0.11,Stellako,3,0.05,Horsefly,3,0.00
U1202,L_Adams,4,1.00,Chilko,3,0.00,Little,4,0.00,,,,,,
U1203,L_Adams,4,0.94,U_Horsefly,3,0.05,Little,4,0.00,L_Horsefly,3,0.00,Pitt,2,0.00
